,MPAN/MPR,Amber - Charge [GBP],Amber - Rate [GBP/kWh],Amber - Consumption [kWh],Green - Charge [GBP],Green - Rate [GBP/kWh],Green - Consumption [kWh],Red - Charge [GBP],Red - Rate [GBP/kWh],Red - Consumption [kWh],Day - Charge [GBP],Day - Rate [GBP/kWh],Day - Consumption [kWh],Night - Charge [GBP],Night - Rate [GBP/kWh],Night - Consumption [kWh],Standing - Rate [GBP/Day],Standing - Charge [GBP],Site - Rate [GBP/Day],Site - Charge [GBP],Availability - Rate [GBP/kVA],Availability - Consumption [kVA],Availability - Charge [GBP],Distrib fixed - Rate [GBP/Day],Distrib fixed - Charge [GBP],Data collection - Rate [GBP/Day],Data collection - Charge [GBP],Settlement - Rate [GBP/kVA],Settlement - Consumption [kVA],Settlement - Charge [GBP],Network - MD%,Network - Rate [GBP/kVA],Network - Consumption [kVA],Network - Charge [GBP],Carbon - Rate [GBP/kWh],Carbon - Consumption [kWh],Carbon - Charge [GBP],Reactive - Rate [GBP/kW],Reactive - Consumption [kW],Reactive - Charge [GBP],Reconciliation - Charge [GBP],VAT - Charge [GBP],Total Charge [GBP]
2022-11-01,2468,66.67,0.00518,12871.2,7.82,0.00051,15334.1,84.93,0.02584,3286.6,3523.86,0.143147,24617.09,956.31,0.11588,8252.63,0.657534,19.73,0.07286,2.19,0.429,135.011655011655,57.92,6.2088,186.26,0.6821918,20.47,0.02302,29.9739357080799,0.69,85.00%,51.83943,6.04,313.11,0.00775,"31,491.9",244.06,0.0,0.0,0.0,20.49,1100.9,6605.41
2023-02-01,2468,58.39,0.00518,11273.0,8.94,0.00051,17526.5,81.7,0.02584,3161.7,3423.16,0.143147,23913.59,1094.95,0.11588,9449.04,0.657534,18.41,0.07286,2.04,0.4004,134.99000999001,54.05,6.2088,173.85,0.6821918,19.1,0.02302,27.8019113814075,0.64,85.00%,51.83943,5.26,272.68,0.00775,"31,961.2",247.7,0.00071,14.0845070422535,0.01,165.6,1124.25,6745.47
2022-10-01,2468,50.27,0.00518,9704.3,7.27,0.00051,14257.2,66.19,0.02584,2561.5,2911.46,0.143147,20338.92,851.21,0.11588,7345.64,0.657534,20.38,0.07286,2.26,0.4433,135.010151139183,59.85,6.2088,192.47,0.6821918,21.15,0.02302,30.8427454387489,0.71,85.00%,51.83943,4.51,233.8,0.00775,"26,523",205.55,0.0,0.0,0.0,58.35,912.84,5593.76
2023-02-01,13579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.24,0.18783,986.2,0.0,0.0,0.0,0.274599,7.69,0.086738,2.43,0.0,0.0,0.0,0.0,0.0,0.4552,12.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00775,986.2,7.64,0.0,0.0,0.0,5.74,44.3,265.79
2023-01-01,13579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.24,0.18783,1071.4,0.0,0.0,0.0,0.274599,8.51,0.086738,2.69,0.0,0.0,0.0,0.0,0.0,0.4552,14.11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00775,"1,071.4",8.3,0.0,0.0,0.0,0.38,46.89,282.12
2022-12-01,13579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.11,0.18783,1049.4,0.0,0.0,0.0,0.274599,8.51,0.086738,2.69,0.0,0.0,0.0,0.0,0.0,0.4552,14.11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00775,"1,049.4",8.13,0.0,0.0,0.0,9.72,48.06,288.33
2022-11-01,13579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.96,0.18783,984.7,0.0,0.0,0.0,0.274599,8.24,0.086738,2.6,0.0,0.0,0.0,0.0,0.0,0.4552,13.66,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.7,10.51,220.67
2022-09-01,2468,46.03,0.00518,8886.7,6.2,0.00051,12162.5,65.68,0.02584,2541.9,2575.85,0.143147,17994.46,768.29,0.11588,6630.07,0.657534,19.73,0.07286,2.19,0.429,135.011655011655,57.92,6.2088,186.26,0.6821918,20.47,0.02302,29.9739357080799,0.69,85.00%,51.83943,4.32,223.95,0.00775,"23,591.1",182.83,0.0,0.0,0.0,0.0,831.22,4987.31
2022-10-01,13579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.32,0.18783,1002.6,0.0,0.0,0.0,0.274599,8.51,0.086738,2.69,0.0,0.0,0.0,0.0,0.0,0.4552,14.11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.67,10.6,225.9
2022-12-01,2468,75.81,0.00518,14634.2,11.35,0.00051,22255.5,104.14,0.02584,4030.2,4445.78,0.143147,31057.41,1350.64,0.11588,11655.47,0.657534,20.38,0.07286,2.26,0.4433,135.010151139183,59.85,6.2088,192.47,0.6821918,21.15,0.02302,30.8427454387489,0.71,85.00%,51.83943,7.91,410.05,0.00775,"40,919.9",317.13,0.00071,225.352112676056,0.16,282.7,1458.92,8753.5
2023-01-01,2468,74.92,0.00518,14462.9,9.18,0.00051,18002.3,93.1,0.02584,3602.8,4025.92,0.143147,28124.39,1103.39,0.11588,9521.84,0.657534,20.38,0.07286,2.26,0.4433,135.010151139183,59.85,6.2088,192.47,0.6821918,21.15,0.02302,30.8427454387489,0.71,85.00%,51.83943,7.65,396.57,0.00775,"36,068",279.53,0.0,0.0,0.0,10.96,1253.69,7544.08
