,period_from,mpr,cost_per_meter,ccl_total,standing_charge,vat_total
0,2021-07-01,19283746,10.09,0.0,37.2,2.36
1,2021-08-01,12345678,901.1,180.95,489.18,314.25
2,2022-04-01,87654321,465.0,77.01,173.7,143.14
3,2022-10-01,19283746,62.51,0.0,52.08,5.73
4,2022-09-01,19283746,29.28,0.0,50.4,3.98
5,2022-11-01,12345678,3595.33,729.91,919.8,1049.01
6,2021-10-01,19283746,32.25,0.0,37.2,3.47
7,2021-03-01,19283746,57.28,0.0,25.73,4.15
8,2022-08-01,87654321,0.0,0.0,179.49,8.97
9,2022-01-01,91827364,160.24,27.9,44.64,46.56
10,2022-08-01,12345678,429.85,178.81,950.46,311.82
11,2022-01-01,87654321,457.46,79.83,137.33,134.93
12,2022-09-01,101010101,66254.68,8302.85,1842.0,15279.91
13,2022-05-01,91827364,43.68,0.0,59.21,5.14
14,2021-02-01,91827364,86.75,22.02,40.32,29.81
15,2022-08-01,91827364,0.0,0.0,59.21,2.96
16,2021-05-01,12345678,1964.82,526.78,489.18,596.16
17,2022-05-01,12345678,2644.8,401.88,950.46,799.43
18,2022-02-01,101010101,94337.23,18245.15,5260.92,23568.67
19,2022-02-01,91827364,120.43,23.16,40.32,36.78
20,2022-05-01,19283746,59.79,0.0,52.08,5.59
21,2021-10-01,12345678,1332.04,408.6,489.18,445.97
22,2021-02-01,12345678,2499.74,637.22,396.2,706.63
23,2022-02-01,87654321,369.82,71.29,124.04,113.03
24,2021-04-01,12345678,2100.58,606.95,473.4,636.19
25,2021-09-01,91827364,25.33,0.0,43.2,3.43
26,2021-09-01,87654321,123.26,27.7,132.9,56.77
27,2022-11-01,91827364,124.94,25.29,57.3,41.51
28,2023-01-01,12345678,5223.76,961.5,950.46,1427.14
29,2022-10-01,12345678,3204.6,584.69,950.46,947.95
30,2022-06-01,91827364,21.22,0.0,57.3,3.93
31,2020-12-01,87654321,231.63,64.81,124.62,84.21
32,2022-11-01,101010101,93136.12,18856.29,1842.0,22766.88
33,2022-01-01,101010101,117374.4,20543.94,5824.59,28748.59
34,2022-06-01,87654321,0.0,0.0,173.7,8.69
35,2021-09-01,101010101,54861.73,12377.83,5636.7,14575.26
36,2022-03-01,91827364,138.16,24.13,44.64,41.39
37,2022-12-01,91827364,283.84,35.77,59.21,75.76
38,2021-01-01,87654321,284.25,69.99,124.62,95.77
39,2021-11-01,101010101,80429.06,18285.59,5636.7,20870.27
40,2022-12-01,101010101,195457.65,24631.14,1903.4,44398.44
41,2021-12-01,101010101,101719.25,19093.15,5824.59,25327.4
42,2021-12-01,91827364,155.15,28.96,44.64,45.75
43,2022-03-01,87654321,408.22,71.46,137.33,123.4
44,2021-12-01,19283746,113.72,21.23,37.2,34.43
45,2022-03-01,12345678,3476.14,608.77,489.18,914.82
46,2021-06-01,12345678,855.77,241.7,473.4,314.17
47,2021-04-01,19283746,51.39,0.0,36.0,4.37
48,2021-11-01,91827364,69.64,0.0,43.2,5.64
49,2022-07-01,19283746,6.96,0.0,52.08,2.95
50,2021-05-01,91827364,46.53,0.0,44.64,4.56
51,2022-04-01,101010101,106413.86,17589.07,1842.0,25168.98
52,2021-06-01,91827364,12.77,0.0,43.2,2.8
53,2021-07-01,12345678,877.54,191.44,489.18,311.64
54,2021-03-01,87654321,232.98,61.96,124.62,83.91
55,2021-01-01,91827364,99.56,24.43,44.64,33.73
56,2021-10-01,87654321,149.58,45.85,137.33,66.56
57,2022-10-01,87654321,0.0,0.0,179.49,8.97
58,2022-11-01,87654321,288.95,58.64,173.7,104.26
59,2022-09-01,87654321,0.0,0.0,173.7,8.69
60,2022-02-01,19283746,96.12,0.0,33.6,6.49
61,2021-10-01,101010101,38795.19,11954.78,5824.59,11314.92
62,2021-02-01,19283746,70.36,17.86,23.24,22.29
63,2022-01-01,19283746,124.04,21.6,37.2,36.57
